house_address,house_rental_area,house_orientation,house_layout,house_floor,house_rental_price,house_id,house_update_time,house_longitude,house_latitude,house_rental_method,house_tag,house_elevator,house_parking,house_water,house_electricity,house_gas,house_heating,create_time,city
郫都-犀浦-中铁伊萨贝拉,124.59㎡,东南,3室1厅1卫,高楼层（10层）,1800 元/月,CD2639145134549106688,2021-06-19,103.975299,30.773844,整租,/权属核验/随时看房/,有,暂无数据,民水,民电,有,自采暖,2021-07-03 13:44:30,成都
郫都-成外-成都后花园二期,74.00㎡,东,1室1厅1卫,中楼层（11层）,1800 元/月,CD2636864048058613760,2021-06-19,104.003183,30.743925,整租,/权属核验/近地铁/随时看房/,有,暂无数据,民水,民电,有,自采暖,2021-07-03 13:44:37,成都
郫都-成外-成都后花园蝶院,127.00㎡,东南,4室2厅2卫,中楼层（25层）,3499 元/月,CD2644225991538376704,2021-06-27,104.000581,30.744217,整租,/权属核验/近地铁/精装/双卫生间/,有,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:44:42,成都
郫都-犀浦-中铁伊萨贝拉,68.45㎡,西南,1室1厅1卫,中楼层（26层）,1300 元/月,CD2637673685422440448,2021-06-30,103.975299,30.773844,整租,/权属核验/,有,暂无数据,民水,民电,有,自采暖,2021-07-03 13:44:45,成都
郫都-成外-西岸翠景,120.41㎡,东南,3室2厅2卫,中楼层（24层）,2100 元/月,CD2639729954250047488,2021-07-01,103.99110933784,30.745820604882,整租,/权属核验/近地铁/精装/双卫生间/,有,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:44:48,成都
郫都-犀浦-滨江两岸,113.00㎡,东,4室2厅2卫,低楼层（32层）,3500 元/月,CD2634768920279785472,2021-06-27,103.995776,30.762969,整租,/权属核验/精装/双卫生间/随时看房/,无,租用车位,民水,民电,有,暂无数据,2021-07-03 13:44:52,成都
郫都-犀浦-乐视界广场,40.00㎡,东南,1室1厅1卫,低楼层（24层）,3800 元/月,CD2785479386567286784,2021-06-24,103.970248,30.768331,整租,/权属核验/精装/,有,暂无数据,暂无数据,暂无数据,无,暂无数据,2021-07-03 13:45:00,成都
郫都-郫县万达-万达MINISOHO,27.71㎡,西南,1室1厅1卫,高楼层（32层）,700 元/月,CD2784084493831503872,2021-06-23,103.91646887316,30.813169908902,整租,/权属核验/,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,2021-07-03 13:45:08,成都
郫都-犀浦-今日花园,113.19㎡,西北,3室2厅2卫,低楼层（6层）,1400 元/月,CD2784865442182217728,2021-06-27,103.958462,30.762243,整租,/权属核验/双卫生间/随时看房/,无,暂无数据,民水,民电,有,暂无数据,2021-07-03 13:45:15,成都
郫都-郫县城区-中铁奥维尔,86.00㎡,东南,3室1厅2卫,中楼层（29层）,1500 元/月,CD2786776123311128576,2021-06-30,103.882033,30.829593,整租,/权属核验/精装/双卫生间/随时看房/,有,租用车位,暂无数据,暂无数据,有,自采暖,2021-07-03 13:45:18,成都
