house_address,house_rental_area,house_orientation,house_layout,house_floor,house_rental_price,house_id,house_update_time,house_longitude,house_latitude,house_rental_method,house_tag,house_elevator,house_parking,house_water,house_electricity,house_gas,house_heating,create_time,city
金牛-茶店子-一品天下A区,77.83㎡,西南,2室1厅1卫,高楼层（7层）,2600 元/月,CD2812287256381882368,2021-07-02,104.030057,30.698131,整租,//权属核验/近地铁/精装/随时看房/,有,暂无数据,民水,民电,有,自采暖,2021-07-03 14:29:24,成都
金牛-抚琴小区-抚琴西路115号,283.08㎡,东南,1室1厅0卫,中楼层（6层）,1300 元/月,CD2668210125592346624,2021-06-27,104.041116,30.685794,整租,/权属核验/近地铁/精装/,无,租用车位,民水,民电,有,自采暖,2021-07-03 14:29:31,成都
金牛-抚琴小区-金鱼街1号,68.91㎡,南,2室1厅1卫,高楼层（6层）,1450 元/月,CD2674455272524881920,2021-06-27,104.044791,30.688354,整租,//权属核验/近地铁/随时看房/,无,租用车位,民水,民电,有,暂无数据,2021-07-03 14:29:34,成都
金牛-抚琴小区-营康路8号,84.72㎡,东南西南,3室1厅1卫,中楼层（7层）,1900 元/月,CD2727596735064186880,2021-06-27,104.042704,30.691497,整租,/权属核验/近地铁/随时看房/,无,暂无数据,民水,民电,有,自采暖,2021-07-03 14:29:37,成都
金牛-抚琴小区-宏源大厦,120.39㎡,东,2室1厅2卫,中楼层（7层）,2000 元/月,CD2781933797648900096,2021-06-27,104.044506,30.693965,整租,//权属核验/近地铁/双卫生间/随时看房/,无,暂无数据,民水,民电,有,暂无数据,2021-07-03 14:29:46,成都
金牛-抚琴小区-营通街8号,79.96㎡,东南,2室1厅1卫,高楼层（6层）,1300 元/月,CD2813691071450849280,2021-06-27,104.04123,30.686682,整租,//权属核验/近地铁/,无,租用车位,民水,民电,有,自采暖,2021-07-03 14:29:48,成都
金牛-抚琴小区-营和巷52号,89.00㎡,东南,3室1厅1卫,中楼层（7层）,2000 元/月,CD2669380850629476352,2021-06-27,104.043873,30.687682,整租,/权属核验/随时看房/,无,租用车位,民水,民电,有,自采暖,2021-07-03 14:29:51,成都
金牛-国宾-西城映画,220.52㎡,东南,5室2厅3卫,高楼层（4层）,4000 元/月,CD2608713920600612864,2021-06-30,104.011508,30.71369,整租,/权属核验/近地铁/精装/,无,租用车位,民水,民电,有,自采暖,2021-07-03 14:29:55,成都
金牛-国宾-恒大西锦城,87.40㎡,南,2室2厅1卫,中楼层（29层）,3000 元/月,CD2786947270317178880,2021-06-27,104.017812,30.716763,整租,//权属核验/近地铁/精装/随时看房/,有,暂无数据,民水,民电,有,自采暖,2021-07-03 14:30:02,成都
金牛-金牛万达-金牛万达C组团,71.11㎡,东南,3室1厅1卫,高楼层（32层）,2800 元/月,CD2765195637061320704,2021-06-20,104.081133,30.69511,整租,//权属核验/近地铁/精装/随时看房/,有,租用车位,民水,民电,有,自采暖,2021-07-03 14:30:07,成都
金牛-金牛万达-锦泰世家,96.27㎡,南,4室1厅1卫,低楼层（18层）,800 元/月,CD2802065907965231104,2021-06-27,104.089533,30.696435,合租,//权属核验/随时看房/,有,暂无数据,民水,民电,有,暂无数据,2021-07-03 14:30:13,成都
金牛-金牛万达-富丽碧蔓汀,76.00㎡,东南,3室1厅1卫,低楼层（26层）,950 元/月,CD2779565802855612416,2021-06-20,104.095072,30.693471,合租,//权属核验/押一付一/随时看房/,有,暂无数据,民水,民电,有,自采暖,2021-07-03 14:30:22,成都
金牛-金牛万达-荷花池公寓,100.21㎡,东南,2室1厅1卫,中楼层（7层）,1600 元/月,CD2814319660709707776,2021-06-23,104.09097,30.698818,整租,/权属核验/随时看房/,无,暂无数据,民水,民电,有,自采暖,2021-07-03 14:30:28,成都
金牛-金牛万达-蓝光富丽城,82.32㎡,南,2室1厅1卫,高楼层（18层）,1000 元/月,CD2809473524950114304,2021-06-30,104.089191,30.701068,合租,//权属核验/业主自荐/随时看房/,有,暂无数据,民水,民电,有,自采暖,2021-07-03 14:30:31,成都
金牛-金牛万达-瑞升城北橡树林,37.00㎡,东北,2室1厅1卫,低楼层（22层）,2600 元/月,CD2817984582333235200,2021-06-27,104.091105,30.691344,整租,//权属核验/新上/精装/,有,暂无数据,商水,商电,有,暂无数据,2021-07-03 14:30:36,成都
金牛-金牛万达-金牛万达D组团,61.32㎡,南,2室2厅1卫,低楼层（32层）,2600 元/月,CD2778212575748562944,2021-06-27,104.082388,30.693315,整租,/权属核验/近地铁/精装/,有,租用车位,民水,民电,有,自采暖,2021-07-03 14:30:39,成都
金牛-金牛万达-树蓓巷1号,86.44㎡,东南,3室1厅1卫,高楼层（7层）,1500 元/月,CD2790526448237019136,2021-06-27,104.098363,30.69139,整租,/权属核验/随时看房/,无,暂无数据,民水,民电,有,自采暖,2021-07-03 14:30:44,成都
金牛-金牛万达-蓝光富丽城,76.72㎡,东南,1室0厅0卫,低楼层（18层）,1000 元/月,CD2801967143011762176,2021-06-27,104.089191,30.701068,合租,//权属核验/近地铁/随时看房/,有,暂无数据,民水,民电,有,自采暖,2021-07-03 14:30:47,成都
金牛-金牛万达-炎华置信花千集,34.32㎡,西,1室0厅1卫,低楼层（20层）,1700 元/月,CD2817356764532711424,2021-07-02,104.07283,30.692703,整租,/权属核验/新上/精装/随时看房/,无,租用车位,暂无数据,暂无数据,暂无数据,暂无数据,2021-07-03 14:30:51,成都
金牛-金牛万达-金牛万达C组团,73.24㎡,东南南,1室1厅1卫,高楼层（32层）,3000 元/月,CD2818063385177104384,2021-06-27,104.081133,30.69511,整租,//权属核验/新上/近地铁/精装/,有,租用车位,民水,民电,有,自采暖,2021-07-03 14:30:55,成都
金牛-金牛万达-炎华置信花千集,39.00㎡,南,1室0厅1卫,低楼层（20层）,1600 元/月,CD2819034850785771520,2021-07-02,104.07283,30.692703,整租,//权属核验/新上/精装/随时看房/,无,租用车位,商水,商电,暂无数据,暂无数据,2021-07-03 14:30:59,成都
金牛-金牛万达-金牛万达D组团,74.30㎡,南,2室1厅1卫,中楼层（32层）,2800 元/月,CD2820808687210201088,2021-07-02,104.082388,30.693315,整租,/权属核验/新上/近地铁/,有,暂无数据,民水,民电,有,自采暖,2021-07-03 14:31:04,成都
金牛-马鞍路-北苑富兴公寓,124.20㎡,东南,3室2厅2卫,高楼层（12层）,3300 元/月,CD2819578989352861696,2021-07-02,104.098724,30.683115,整租,//权属核验/新上/精装/双卫生间/随时看房/,有,租用车位,民水,民电,有,暂无数据,2021-07-03 14:31:08,成都
金牛-沙湾-光荣西路60号,75.82㎡,东南,3室1厅1卫,高楼层（7层）,1300 元/月,CD2811639024970629120,2021-06-27,104.049029,30.695556,整租,//权属核验/近地铁/随时看房/,无,暂无数据,民水,民电,有,自采暖,2021-07-03 14:31:12,成都
金牛-沙湾-现代城,69.00㎡,西南,2室1厅1卫,中楼层（31层）,2700 元/月,CD2821533838013112320,2021-07-02,104.053015,30.697927,整租,/权属核验/新上/近地铁/随时看房/,有,暂无数据,民水,民电,有,自采暖,2021-07-03 14:31:20,成都
金牛-花照壁-金桔花园二期南苑,106.04㎡,东,3室1厅1卫,中楼层（7层）,2200 元/月,CD2791277149808762880,2021-06-27,104.045556,30.713224,整租,/权属核验/近地铁/,无,暂无数据,民水,民电,有,自采暖,2021-07-03 14:31:23,成都
金牛-花照壁-中铁二局电务公司住宅,101.07㎡,西,3室2厅1卫,低楼层（6层）,2200 元/月,CD2744152389010325504,2021-06-30,104.04618865,30.71033189,整租,/权属核验/近地铁/,无,暂无数据,民水,民电,有,暂无数据,2021-07-03 14:31:29,成都
金牛-花照壁-金桔花园二期南苑,105.42㎡,东南,3室2厅2卫,高楼层（7层）,2500 元/月,CD2787548067145465856,2021-06-30,104.045556,30.713224,整租,//权属核验/近地铁/双卫生间/随时看房/,无,暂无数据,民水,民电,有,自采暖,2021-07-03 14:31:33,成都
金牛-花照壁-金牛区民政局宿舍,140.00㎡,东南,3室1厅2卫,高楼层（7层）,2000 元/月,CD2802215506055274496,2021-06-27,104.04371237363,30.706661195554,整租,/权属核验/近地铁/双卫生间/,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,2021-07-03 14:31:35,成都
金牛-花照壁-金桔花园二期北苑,78.66㎡,东南,2室2厅1卫,高楼层（7层）,1800 元/月,CD2813643842187182080,2021-06-30,104.045129,30.713674,整租,/权属核验/近地铁/精装/,无,暂无数据,民水,民电,有,自采暖,2021-07-03 14:31:38,成都
金牛-蜀汉路-千和馨城,65.45㎡,南,2室1厅1卫,低楼层（17层）,2200 元/月,CD2815331659912847360,2021-07-01,104.020905,30.697272,整租,/权属核验/业主自荐/近地铁/精装/,有,租用车位,民水,民电,有,自采暖,2021-07-03 14:31:41,成都
金牛-营门口-人居花照云庭,174.00㎡,南,4室2厅2卫,高楼层（31层）,7000 元/月,CD2696355238298001408,2021-07-02,104.04271,30.704972,整租,/权属核验/业主自荐/近地铁/精装/双卫生间/,无,租用车位,暂无数据,暂无数据,有,暂无数据,2021-07-03 14:31:46,成都
金牛-金府-金府五金机电城,77.96㎡,东南南,2室1厅1卫,中楼层（7层）,1500 元/月,CD2821033058080399360,2021-07-03,104.047461,30.724195,整租,/权属核验/新上/近地铁/,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,2021-07-03 14:31:51,成都
金牛-五块石-幸福彼岸,130.00㎡,东南西,3室2厅2卫,中楼层（22层）,3000 元/月,CD2819505442358050816,2021-07-03,104.064596,30.722072,整租,/权属核验/新上/近地铁/双卫生间/,有,暂无数据,民水,民电,有,暂无数据,2021-07-03 14:31:56,成都
